rank,dataset,source_url,venue_or_signal,flow_type,variables,mesh_or_topology,access_and_license,galerkin_readiness,recommendation
1,MeshGraphNets CylinderFlow,https://github.com/google-deepmind/deepmind-research/tree/master/meshgraphnets,ICLR 2021 Outstanding Paper official dataset,2D incompressible cylinder flow,"velocity, pressure, node_type","cells and mesh_pos in official meta.json","Google Cloud TFRecord; code Apache-2.0","S: cells+coordinates+velocity+pressure are explicit","Use first for public Galerkin tensor extraction"
2,CFDBench cylinder raw,https://huggingface.co/datasets/chen-yingfa/CFDBench-raw,Large-scale CFD ML benchmark,2D cylinder and other CFD cases with BC/geometry/property variants,"x/y velocity, absolute pressure, coordinates in raw preview","raw coordinates visible; cell connectivity must be confirmed","Apache-2.0 on Hugging Face; raw about 460GB","S-: excellent fields but heavy preprocessing","Use second for MoE parameter generalization"
3,Zenodo fixed circular cylinder Re100,https://zenodo.org/records/5039610,Open Zenodo CFD dataset linked to JFM setup,2D fixed cylinder vortex shedding at Re=100,"U,V,p,node coordinates","node coordinates only in public parser; connectivity not shown","CC BY 4.0; about 1.2GB","A: good fields but need mesh reconstruction or original connectivity","Use for classic Re100 POD-ROM comparison"
4,DatasetMeca oscillating cylinder ReH185,https://datasetmeca.lisn.upsaclay.fr/doku.php?id=datasetmeca%3Aflow2dpastosccylinder1,DNS database,2D forced oscillating cylinder,"U,V,P,TRACE snapshots","480x480 structured grid listed","about 7GB; external access on request","A: structured grid snapshots are suitable if access granted","Use for forced/input ROM experiments"
5,PDEBench,https://github.com/pdebench/PDEBench,NeurIPS 2022 Datasets and Benchmarks,General PDE benchmark not cylinder-specific,"varies; includes fluid variables in some NS data","mostly HDF5 regular-grid benchmark format","CC BY 4.0 dataset on DaRUS","B+: top-conference baseline but not cylinder Galerkin data","Use as baseline reference, not main cylinder tensor source"
6,Nonlinear Benchmark Unsteady Fluid Mechanics,https://www.nonlinearbenchmark.org/benchmarks/unsteady-fluid-mechanics,System identification benchmark,Oscillating circular cylinder wake,"velocity, pressure, vorticity, lift/drag","31x31 wake grid","download page public benchmark","B: useful for ROM/control but spatial grid is coarse","Use for low-dimensional control/identification comparison"
7,Re3900 cylinder DNS wake,https://entrepot.recherche.data.gouv.fr/dataset.xhtml?persistentId=doi:10.15454/GLNRHK,Data in Brief / DNS dataset,3D smooth-cylinder wake at Re=3900,"Eulerian velocity and pressure plus Lagrangian trajectories","3D DNS subdomains","Etalab Open License 2.0 compatible CC-BY","B: high fidelity but not 2D full cylinder domain","Use for extension via 2D slices or 3D ROM"
8,MegaFlow2D,https://github.com/cmudrc/MegaFlow2D,CPS-IoT Week 2023 dataset,Parametric 2D external/internal flows,"large snapshot collection; variables need sample verification","FEniCS/Oasis workflow; topology availability to verify","MIT code; dataset details in ACM paper","B: promising but not dedicated cylinder wake","Use as backup for parametric CFD super-resolution experiments"
9,Raissi PINNs cylinder_nektar_wake.mat,https://github.com/maziarraissi/PINNs/blob/master/main/Data/cylinder_nektar_wake.mat,Classic PINN/HFM benchmark,2D cylinder wake sample data,"X_star,t,U_star,p_star","sample points; no explicit cells/mass matrix","GitHub file about 23MB","C: good smoke test, weak for precise Galerkin","Use only for quick pipeline checks"
10,NVIDIA Modulus Cylinder Flow,https://catalog.ngc.nvidia.com/orgs/nvidia/teams/modulus/resources/modulus_datasets_cylinder-flow,PhysicsNeMo/Modulus example,Transient vortex shedding on parameterized geometries,"likely npy fields; must inspect download","topology availability unclear from public page","NGC resource","B-/TBD: field structure must be verified","Keep as backup candidate"

